sample,time_s,raw_u16,code12,voltage_V
467,0.233511000,41530,2595,2.091234
468,0.234011000,21429,1339,1.079052
469,0.234512000,8322,520,0.419052
470,0.235012000,9314,582,0.469004
471,0.235512000,24053,1503,1.211183
472,0.236012000,43994,2749,2.215308
473,0.236512000,57374,3585,2.889054
474,0.237012000,56349,3521,2.837441
475,0.237512000,41482,2592,2.088817
476,0.238012000,21605,1350,1.087915
477,0.238511000,8306,519,0.418247
478,0.239011000,9314,582,0.469004
479,0.239511000,24005,1500,1.208766
480,0.240011000,43914,2744,2.211280
481,0.240510000,57277,3579,2.884170
482,0.241010000,56285,3517,2.834218
483,0.241509000,41690,2605,2.099290
484,0.242009000,21781,1361,1.096777
485,0.242509000,8386,524,0.422275
486,0.243009000,9442,590,0.475450
487,0.243514000,24165,1510,1.216823
488,0.244014000,44042,2752,2.217725
489,0.244514000,57374,3585,2.889054
490,0.245014000,56237,3514,2.831802
491,0.245513000,41658,2603,2.097679
492,0.246013000,21573,1348,1.086304
493,0.246513000,8306,519,0.418247
494,0.247013000,9362,585,0.471421
495,0.247513000,24181,1511,1.217629
496,0.248013000,44010,2750,2.216114
497,0.248513000,57325,3582,2.886587
498,0.249012000,56365,3522,2.838246
499,0.249512000,41546,2596,2.092039
500,0.250012000,21541,1346,1.084692
501,0.250512000,8290,518,0.417441
502,0.251012000,9266,579,0.466587
503,0.251511000,24085,1505,1.212795
504,0.252011000,43994,2749,2.215308
505,0.252511000,56813,3550,2.860806
506,0.253010000,56285,3517,2.834218
507,0.253511000,41562,2597,2.092845
508,0.254011000,21637,1352,1.089526
509,0.254510000,8322,520,0.419052
510,0.255009000,9298,581,0.468199
511,0.255509000,23877,1492,1.202321
