sample,time_s,raw_u16,code12,voltage_V
287,0.143508000,7649,478,0.385164
288,0.144009000,10130,633,0.510094
289,0.144508000,25766,1610,1.297441
290,0.145008000,45515,2844,2.291898
291,0.145508000,57822,3613,2.911614
292,0.146014000,55357,3459,2.787489
293,0.146514000,39449,2465,1.986445
294,0.147013000,19780,1236,0.996017
295,0.147513000,7729,483,0.389192
296,0.148013000,10210,638,0.514122
297,0.148513000,25942,1621,1.306304
298,0.149013000,45691,2855,2.300760
299,0.149513000,57726,3607,2.906780
300,0.150012000,55325,3457,2.785878
301,0.150512000,39657,2478,1.996919
302,0.151012000,19892,1243,1.001657
303,0.151512000,7809,488,0.393220
304,0.152011000,10338,646,0.520568
305,0.152511000,25894,1618,1.303886
306,0.153011000,45595,2849,2.295926
307,0.153510000,57790,3611,2.910002
308,0.154010000,55501,3468,2.794740
309,0.154509000,39849,2490,2.006587
310,0.155009000,20116,1257,1.012937
311,0.155509000,7729,483,0.389192
312,0.156009000,10210,638,0.514122
313,0.156514000,25766,1610,1.297441
314,0.157009000,45531,2845,2.292703
315,0.157509000,57918,3619,2.916448
316,0.158009000,55389,3461,2.789100
317,0.158508000,39817,2488,2.004976
318,0.159014000,19860,1241,1.000046
319,0.159514000,7697,481,0.387581
320,0.160013000,10274,642,0.517345
321,0.160513000,25958,1622,1.307109
322,0.161013000,45739,2858,2.303177
323,0.161513000,57822,3613,2.911614
324,0.162012000,55389,3461,2.789100
325,0.162513000,39241,2452,1.975972
326,0.163013000,19924,1245,1.003268
327,0.163513000,7441,465,0.374690
328,0.164013000,10210,638,0.514122
329,0.164512000,25974,1623,1.307915
330,0.165012000,45611,2850,2.296732
331,0.165511000,57854,3615,2.913225
332,0.166011000,55485,3467,2.793934
333,0.166511000,39737,2483,2.000948
334,0.167011000,19940,1246,1.004074
335,0.167510000,7697,481,0.387581
336,0.168010000,10178,636,0.512511
337,0.168509000,25862,1616,1.302275
338,0.169009000,45611,2850,2.296732
339,0.169510000,57870,3616,2.914030
340,0.170009000,55501,3468,2.794740
341,0.170509000,39817,2488,2.004976
342,0.171009000,20036,1252,1.008908
343,0.171514000,7697,481,0.387581
344,0.172008000,10290,643,0.518151
345,0.172514000,26054,1628,1.311943
346,0.173013000,45739,2858,2.303177
347,0.173513000,57982,3623,2.919670
348,0.174013000,55229,3451,2.781044
349,0.174513000,39625,2476,1.995308
350,0.175012000,19876,1242,1.000851
351,0.175513000,7489,468,0.377107
352,0.176013000,10242,640,0.515734
353,0.176513000,25894,1618,1.303886
354,0.177013000,45563,2847,2.294314
355,0.177513000,57934,3620,2.917253
356,0.178013000,55373,3460,2.788295
357,0.178513000,39657,2478,1.996919
358,0.179012000,20068,1254,1.010520
359,0.179512000,7745,484,0.389998
360,0.180012000,9698,606,0.488341
361,0.180511000,25958,1622,1.307109
362,0.181011000,45547,2846,2.293509
363,0.181511000,57758,3609,2.908391
364,0.182011000,55357,3459,2.787489
365,0.182510000,39641,2477,1.996114
366,0.183010000,20004,1250,1.007297
367,0.183510000,7761,485,0.390803
368,0.184010000,10130,633,0.510094
369,0.184509000,25798,1612,1.299052
370,0.185009000,45515,2844,2.291898
371,0.185509000,57678,3604,2.904362
372,0.186009000,55437,3464,2.791518
373,0.186508000,39801,2487,2.004170
374,0.187009000,20148,1259,1.014548
375,0.187509000,7745,484,0.389998
376,0.188009000,10114,632,0.509288
