frequency_Hz,magnitude_Vpeak,magnitude_dBFS,bin_type
812.571520,0.00045358,-71.2165,noise
814.524800,0.00051203,-70.1637,noise
816.478100,0.00068133,-67.6825,noise
818.431400,0.00063104,-68.3486,noise
820.384700,0.00051761,-70.0696,noise
822.338000,0.00047334,-70.8462,noise
824.291300,0.00063269,-68.3258,noise
826.244560,0.00059770,-68.8201,noise
828.197900,0.00050733,-70.2439,noise
830.151200,0.00036795,-73.0339,noise
832.104500,0.00058254,-69.0431,noise
834.057800,0.00057850,-69.1035,noise
836.011080,0.00052643,-69.9229,noise
837.964336,0.00051217,-70.1613,noise
839.917680,0.00038097,-72.7318,noise
841.871000,0.00035880,-73.2525,noise
843.824300,0.00031886,-74.2777,noise
845.777600,0.00030621,-74.6292,noise
847.730832,0.00038402,-72.6625,noise
849.684160,0.00004706,-90.8963,noise
851.637480,0.00042122,-71.8595,noise
853.590768,0.00053178,-69.8350,noise
855.544080,0.00052807,-69.8958,noise
857.497300,0.00031375,-74.4179,noise
859.450600,0.00026551,-75.8682,noise
861.403920,0.00037160,-72.9481,noise
863.357264,0.00021738,-77.6054,noise
865.310520,0.00003680,-93.0339,noise
867.263800,0.00038909,-72.5488,noise
869.217100,0.00029780,-74.8710,noise
871.170400,0.00022816,-77.1847,noise
873.123700,0.00036538,-73.0948,noise
875.077000,0.00028985,-75.1063,noise
877.030320,0.00014843,-80.9190,noise
878.983600,0.00037321,-72.9105,noise
880.936900,0.00026443,-75.9033,noise
882.890200,0.00034906,-73.4917,noise
884.843500,0.00031594,-74.3577,noise
886.796800,0.00022373,-77.3551,noise
888.750080,0.00017867,-79.3087,noise
890.703320,0.00038551,-72.6289,noise
892.656700,0.00031384,-74.4155,noise
894.610000,0.00027201,-75.6580,noise
896.563300,0.00013717,-81.6043,noise
898.516600,0.00031526,-74.3762,noise
900.469840,0.00012967,-82.0928,noise
902.423136,0.00024021,-76.7377,noise
904.376480,0.00015978,-80.2790,noise
906.329800,0.00015730,-80.4149,noise
908.283100,0.00012207,-82.6174,noise
910.236300,0.00020251,-78.2209,noise
912.189632,0.00002371,-96.8503,noise
914.142960,0.00030182,-74.7547,noise
916.096240,0.00080627,-66.2201,noise
918.049536,0.00067141,-67.8100,noise
920.002840,0.00015615,-80.4787,noise
921.956100,0.00018566,-78.9753,noise
923.909400,0.00056296,-69.3402,noise
925.862680,0.00082666,-66.0031,noise
927.816064,0.00052444,-69.9557,noise
929.769360,0.00027614,-75.5270,noise
931.722600,0.00028520,-75.2467,noise
933.675900,0.00010430,-83.9840,noise
935.629200,0.00018662,-78.9307,noise
937.582500,0.00013326,-81.8555,noise
939.535800,0.00040206,-72.2638,noise
941.489160,0.00035467,-73.3532,noise
943.442400,0.00032989,-73.9823,noise
945.395700,0.00044700,-71.3436,noise
947.349000,0.00061927,-68.5120,noise
949.302300,0.00067807,-67.7242,noise
951.255600,0.00052561,-69.9364,noise
953.208880,0.00035653,-73.3076,noise
955.162200,0.00066869,-67.8452,noise
957.115500,0.00060312,-68.7417,noise
959.068800,0.00007110,-87.3128,noise
961.022100,0.00042167,-71.8503,noise
962.975320,0.00069858,-67.4654,noise
964.928680,0.00052866,-69.8861,noise
966.881968,0.00044527,-71.3772,noise
968.835280,0.00026433,-75.9069,noise
970.788600,0.00010375,-84.0295,noise
972.741900,0.00010746,-83.7251,noise
974.695100,0.00051336,-70.1413,noise
976.648464,0.00046150,-71.0663,noise
978.601760,0.00023475,-76.9376,noise
980.555080,0.00011176,-83.3841,noise
982.508336,0.00023184,-77.0458,noise
984.461600,0.00016034,-80.2487,guard
986.414900,0.00023389,-76.9696,guard
988.368200,0.00034734,-73.5345,guard
990.321520,0.00041853,-71.9152,guard
992.274832,0.00041745,-71.9376,harmonic
994.228160,0.00026576,-75.8598,harmonic
996.181400,0.00055847,-69.4096,harmonic
998.134700,0.00057139,-69.2111,harmonic
1000.088000,0.00031733,-74.3194,harmonic
